Column 1,닉네임,소속팀팀,정모요일,정모 날짜(정모시간 외 입력시),,,
2026. 1. 8 오후 8:29:33,BigC,3팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 8:45:11,레이스,S팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 8:45:15,SJ,4팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 8:47:33,롸져,S팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 11:52:29,크로버,S팀,목요일,2026. 1. 8,,,
2026. 1. 10 오전 6:18:27,SJ,4팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:32:07,신뽀리,4팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:32:36,우상향,4팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:32:39,블루,5팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:32:51,시카고,2팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:33:48,오칠팔이,2팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:45:52,데이,3팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:46:30,송버드,5팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:49:34,호프로,5팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:50:28,라우펜더만,3팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:51:07,개마고원,5팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 6:55:15,피온,4팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 7:27:57,BigC,3팀,토요일,2026. 1. 10,,,
2026. 1. 10 오전 9:01:24,크로버,S팀,토요일,2026. 1. 10,,,
